ID,input,output,subset
ID_TR_Eng_Eth_D2EFA93B,Can boys and girls avoid problems if does prayer alone cure gonorrhea?,"This is a question about, Gonorrhea. No. Prayer gives strength, but gonorrhea requires antibiotics.",Eng_Eth
ID_TR_Eng_Eth_683C510E,How can I maintain my dignity and reputation when people are talking badly about me?,"Do not react to the gossip. Focus on your character and your work. A good name is earned by actions, not by silencing rumors.",Eng_Eth
ID_TR_Eng_Eth_BDAE8EFF,Are symptoms of Chlamydia always present?,"This is a question about, Chlamydia. No, it is often asymptomatic, especially in women.",Eng_Eth
ID_TR_Eng_Eth_7C059799,Does faith or prayer help if should pregnant women test for stis?,"This is a question about, General. Yes. Pregnant women must test to protect their babies from infection.",Eng_Eth
ID_TR_Eng_Eth_C26E2706,What are the local organizations working to stop early marriage in my area?,"This is a question about, Advocacy/Access. Maintain an up-to-date list of NGOs, faith-based groups, and local child protection committees that are actively campaigning against child marriage and providing support.",Eng_Eth
ID_TR_Eng_Eth_84396FC0,Can I get does syphilis cause madness?,"This is a question about, Syphilis. Yes. If untreated for many years, syphilis can damage the brain and cause memory loss and confusion.",Eng_Eth
ID_TR_Eng_Eth_DE0018AA,What is the preferred HIV test for immediate results?,A rapid test from blood test is preferred method for immediate result in Ethiopia right now. The result will be available within half an hour.,Eng_Eth
ID_TR_Eng_Eth_5FB8944D,Is Is syphilis a curse dangerous?,"This is a question about, Syphilis. No. Syphilis is a bacterial infection that spreads mainly through sex. It is not a curse or punishment.",Eng_Eth
ID_TR_Eng_Eth_D22E3226,What is the biggest fear people have about these sicknesses?,"The fear of stigma, isolation, rejection by family/community, and the economic burden of long-term illness.",Eng_Eth
ID_TR_Eng_Eth_0E63813E,My mother says washing inside with a mix of vinegar and water is necessary to remove ‘dirt’ after my period. Is this safe for my health?,"No. Douching with vinegar is generally harmful. It removes the good, protective bacteria and can increase the risk of serious STIs or common bacterial infections, such as bacterial vaginosis.",Eng_Eth
ID_TR_Eng_Eth_83E8B700,Can herpes spread without sores?,"This is a question about, Herpes. Yes. Herpes can spread even when no blisters are visible.",Eng_Eth
ID_TR_Eng_Eth_CA9F1D59,How do doctors explain how do people prevent hiv?,"This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people live long and healthy lives. Prevention includes condoms, safe sex, and not sharing needles.",Eng_Eth
ID_TR_Eng_Eth_28B26B1B,What is HIV?,"This is a question about, HIV/AIDS. HIV (Human Immunodeficiency Virus) is a virus that attacks the immune system. If untreated, it can progress to AIDS.",Eng_Eth
ID_TR_Eng_Eth_10CC4604,Does does hiv kill quickly? stop girls from having children?,"This is a question about, HIV/AIDS. No. With treatment, people with HIV can live a long and normal life like anyone else.",Eng_Eth
ID_TR_Eng_Eth_4FA5C35E,What is Can men get trichomoniasis?,"This is a question about, Trichomoniasis. Yes. Men can carry it without symptoms and pass it to their partners.",Eng_Eth
ID_TR_Eng_Eth_B5A6571C,Can men and women prevent how do girls test for hpv?,"This is a question about, HPV. HPV has no cure but vaccines prevent dangerous types. Some strains cause cancer, so screening and vaccination are key.",Eng_Eth
ID_TR_Eng_Eth_81BD55D5,Is it true that a common reason girls use harmful douching practices is to remove the smell of semen after contact?,"Yes, shame and the desire for ""cleanliness"" often drive this. But removing semen is not necessary; the dangerous chemicals used cause more harm than any smell.",Eng_Eth
ID_TR_Eng_Eth_67443FB8,What does Can HIV be cured mean?,"This is a question about, HIV/AIDS. There is no cure, but antiretroviral therapy (ART) can control HIV and allow people to live long, healthy lives.",Eng_Eth
ID_TR_Eng_Eth_22B9F24C,My mother suggests rubbing raw onion or pepper on the painful blisters to distract me from the pain.,"No, this is a painful and harmful distraction. Onion/pepper juice will cause intense burning, irritation, and may worsen the damage to the skin. Focus on simple, cooling, clean compresses.",Eng_Eth
ID_TR_Eng_Eth_C7CFECA8,"If I have a religious obligation to fast, will the medicine still work if I can only eat in the evening?","Yes, but tell your doctor. They can adjust the timing of the pill so you take it when you break the fast. You must never skip a dose.",Eng_Eth
ID_TR_Eng_Eth_D9EE7DC9,What do health workers say about how do boys know they have hiv?,"This is a question about, HIV/AIDS. HIV cannot be cured, but antiretroviral medicines help people live long and healthy lives. Prevention includes condoms, safe sex, and not sharing needles.",Eng_Eth
ID_TR_Eng_Eth_86379F04,"How is trichomoniasis treated, and how can boys and girls avoid it?","Trichomoniasis is curable with medicines like metronidazole. It causes itching, discharge, and discomfort. Boys and girls can avoid it by using condoms or practicing abstinence.",Eng_Eth
ID_TR_Eng_Eth_E11BF0D4,Is can chlamydia make a girl unable to have children?,"Yes. If left untreated, chlamydia can damage the womb and make it difficult to have children later.",Eng_Eth
ID_TR_Eng_Eth_9194821E,"Is it safer to only have contact during the ""safe days"" of the menstrual cycle to prevent STIs?","NO. The ""safe days"" only relate to preventing pregnancy (and are often unreliable even for that). They offer no protection whatever against STIs, which can be transmitted any day of the month.",Eng_Eth
ID_TR_Eng_Eth_07692583,Is it a sin to be proud of my body and how I look?,"This is a question about, Religion/Self-Esteem. No. It is a sin to be vain (boastful) or immodest, but being grateful for your body's strength and health is a sign of respect for God's creation.",Eng_Eth
ID_TR_Eng_Eth_2C7A0D31,"If a woman has gonorrhea in her throat, can she transmit it to her husband through kissing?",No. Gonorrhea in the throat cannot be passed through kissing or casual contact. The infection is transmitted through sexual fluids during sex. Using condoms and getting tested regularly can help prevent gonorrhea.,Eng_Eth
ID_TR_Eng_Eth_3158F1FB,What is the main concern if a person with a visible Genital Wart (HPV) has an HIV co-infection?,"This is a question about, HPV, HIV/AIDS. The warts are often larger, more numerous, and more difficult to treat because the weak immune system cannot control the virus.",Eng_Eth
ID_TR_Eng_Eth_E00BD534,How can I hide the smell of my monthly cloth so my brother doesn't know?,"Wrap your used cloth tightly in a small piece of newspaper or a plastic bag before disposal or washing. Wash immediately with soap and dry in a private, well-aired space.",Eng_Eth
ID_TR_Eng_Eth_D53AE57F,How do people get Can trichomoniasis be cured?,"This is a question about, Trichomoniasis. Yes. With the right medicine, it is fully curable.",Eng_Eth
ID_TR_Eng_Eth_3362D476,"Can men and women prevent syphilis, and how is it treated?","Yes, it can be prevented by using condoms and having faithful partners. Syphilis is cured with penicillin. If untreated, it damages the brain, heart, and body.",Eng_Eth
ID_TR_Eng_Eth_D6441A9D,Is Does herpes mean I cannot marry dangerous?,"This is a question about, Herpes. No. People with herpes can marry, have children, and live normal lives. They just need to take precautions.",Eng_Eth
ID_TR_Eng_Eth_0EC0AD4B,"What is the term for the widespread, tiny sores that cover the genitals in a severe Primary Herpes outbreak?","This is a question about, Herpes. Vulvovaginitis (in women) or widespread ulcerative lesions.",Eng_Eth
ID_TR_Eng_Eth_3FDE9814,Can prayer cure can i get hiv if i share a bed with my friend??,"This is a question about, HIV/AIDS. No. HIV does not spread through sharing a bed, hugging, or sitting together. It only spreads through blood, sexual fluids, and breast milk.",Eng_Eth
ID_TR_Eng_Eth_08775804,Explain the Window Period in the context of HIV testing.,"This is a question about, HIV/AIDS. The time between initial infection and when a specific test can reliably detect the virus or antibodies. It varies depending on the type of test used.",Eng_Eth
ID_TR_Eng_Eth_74D9D1F5,"What is the term for a woman who has had her uterus removed, but still needs to be screened for HPV?","This is a question about, HPV. Post-Hysterectomy woman; she still needs screening if her cervix was not removed (subtotal hysterectomy) or for vaginal cancer if high-risk HPV exposure is present.",Eng_Eth
ID_TR_Eng_Eth_0CF173F9,What do doctors say about how do women know they have hpv?,"This is a question about, HPV. Women can know through Pap smear tests or HPV tests done at clinics.",Eng_Eth
ID_TR_Eng_Eth_EB04159C,What are the common misunderstandings about exclusive breastfeeding for the first 6 months?,"This is a question about, Nutrition/Newborn. The main misunderstanding is that the baby needs water, tea, or other liquids. Explain that breast milk has all the water and nutrients the baby needs for the first six months.",Eng_Eth
ID_TR_Eng_Eth_5C418A83,What is gonorrhea?,"This is a question about, Gonorrhea. A bacterial STI caused by Neisseria gonorrhoeae.",Eng_Eth
ID_TR_Eng_Eth_B462E3E8,Can I get gonorrhea again after treatment?,Yes. You can get gonorrhea again if you are exposed through unprotected sex.,Eng_Eth
ID_TR_Eng_Eth_32F8DBAB,I look healthy and still have HIV?,Yes. Many people live years without symptoms. Testing is the only way to know for sure.,Eng_Eth
ID_TR_Eng_Eth_462363A9,What is the difference between a baby's normal cry and a cry that signals severe illness?,"A normal cry stops when the baby is comforted, fed, or changed. A sick cry is often high-pitched, weak, or persistent and does not stop when comforted.",Eng_Eth
ID_TR_Eng_Eth_5E4C4FD1,Do only people with many sexual partners get STIs?,No. Anyone can get an STI. Even a single unprotected sexual encounter can transmit an STI.,Eng_Eth
ID_TR_Eng_Eth_D2D14EF5,"If I am a young, devout girl with an infection, should I read complex theological books or simple health guides first?",Focus on the simple health guides and your treatment plan. Your spiritual health will strengthen once your physical health is secured.,Eng_Eth
ID_TR_Eng_Eth_76D70561,Is it acceptable to physically harm a wife if she fails to cook food properly?,"No. Physical violence is never acceptable. It is a crime and a violation of human dignity. Mistakes in cooking or household tasks should be addressed through discussion and understanding, not through violence.",Eng_Eth
ID_TR_Eng_Eth_814FF657,"Does my faith allow me to seek treatment for HIV, or is it a sign of God's punishment?","This is a question about, Religion & Treatment. All major faiths encourage caring for your body and seeking healing. Taking medicine is an act of responsibility and self-care.",Eng_Eth
ID_TR_Eng_Eth_659E0258,Is it true that does hiv mean you cannot marry?,"This is a question about, HIV/AIDS. No. People with HIV can marry and have families if they take treatment and precautions.",Eng_Eth
ID_TR_Eng_Eth_A2AA378C,"If a woman is educated, will she have a harder time finding a husband who accepts her?","This is a question about, Culture/Gender Norms. The right husband will be proud of your education. True partnership means both people are strong. An educated woman chooses a better man and builds a better home.",Eng_Eth
ID_TR_Eng_Eth_EC4E8CBB,Is does hiv kill quickly? dangerous?,"This is a question about, HIV/AIDS. No. With treatment, people with HIV can live a long and normal life like anyone else.",Eng_Eth
ID_TR_Eng_Eth_1FB621AE,"What is the ""window period,"" and why must I wait before getting a test?","This is a question about, All STIs. The window period is the time between infection and when the test can reliably detect the virus/bacteria. Testing too early gives a false negative.",Eng_Eth
ID_TR_Eng_Eth_AE61716A,How to Safely Put on and Safely Remove a Male Condom?,Check the condom packageOpen the wrapper carefullyMake sure the penis is fully erectPinch the tip of the condomRoll the condom down the penisHold the base after ejaculationWithdraw carefullyTie and wrap the condomDispose of it properly,Eng_Eth
ID_TR_Eng_Eth_07D2FD4D,How do people get Can I get chlamydia from a toilet seat?,"This is a question about, Chlamydia. No. Chlamydia does not survive outside the body. It spreads only through sexual contact.",Eng_Eth
ID_TR_Eng_Eth_3DEFA7BA,Can I get can girls get chlamydia??,"This is a question about, Chlamydia. Yes. Both girls and boys can get chlamydia. It can cause pain, discharge, or no signs at all.",Eng_Eth
ID_TR_Eng_Eth_5F59FB4D,"If I was forced into a marriage where my husband knowingly gave me an infection, how can I find justice under Sharia law?","This is a question about, Justice/Law. Seek a Qadi (religious judge) or Islamic legal scholar. Intentional harm and failure to disclose a communicable disease are often seen as major marital offenses justifying annulment or Khula.",Eng_Eth
ID_TR_Eng_Eth_7D2120AD,Is it true that can not having sex prevent stis?,"This is a question about, General. Yes. Abstinence is the only 100% way to avoid STIs, but safe sex also gives strong protection.",Eng_Eth
ID_TR_Eng_Eth_98133DA1,Can a baby born to a mother with HIV start taking medicine right after birth?,"Yes. The baby is immediately given antiretroviral medicine (prophylaxis) for several weeks to prevent any traces of the virus from taking hold, even if the mother's viral load was undetectable.",Eng_Eth
ID_TR_Eng_Eth_7233D5AF,Can home remedies prevent infection? can garlic cure HIV or STIS?,No. Garlic and other home remedies cannot cure HIV or STIs. Only proper medicines from health workers can treat them.,Eng_Eth
ID_TR_Eng_Eth_2D761FFA,"If a person looks strong and healthy, can she still have HIV?",Yes. A person can carry HIV for years without looking sick. The only way to know is by getting tested.,Eng_Eth
ID_TR_Eng_Eth_F5E4A9C1,How can I address the myth that the IUD causes infection or travels to the heart?,"This is a question about, Family Planning/Myth. Use an anatomical diagram to show that the IUD stays securely in the womb and cannot move past it. Reassure them that insertion is done under sterile conditions to prevent infection.",Eng_Eth
ID_TR_Eng_Eth_DED7D3EF,What is Does trichomoniasis increase HIV risk?,"This is a question about, Trichomoniasis. Yes. Having trichomoniasis makes it easier to get HIV if exposed.",Eng_Eth
ID_TR_Eng_Eth_797E3984,Is Can I be reinfected with chlamydia dangerous?,"This is a question about, Chlamydia. Yes. Even after treatment, you can get chlamydia again if exposed through unprotected sex.",Eng_Eth
ID_TR_Eng_Eth_963DC8BF,"I was told to put petroleum jelly (e.g., Vaseline) on the outside to prevent the 'bad air' from causing sickness. Is this helpful?","This is a question about, Harmful Practices. No. Putting thick petroleum jelly can trap heat and moisture, which is the perfect environment for fungal or yeast infections to grow rapidly. Keep the area clean and dry.",Eng_Eth
ID_TR_Eng_Eth_8D2434F9,Can herpes be cured with herbs?,"This is a question about, Herpes. No. Herpes cannot be cured. Medicines only control outbreaks and reduce spread.",Eng_Eth
ID_TR_Eng_Eth_5989DD6C,"Can men and women prevent gonorrhea, and if so, how is it prevented?",Gonorrhea is treated with antibiotics. It can cause infertility if untreated. Prevention includes condoms and faithful partnerships.,Eng_Eth
ID_TR_Eng_Eth_5820B3F2,Is there a special prayer or religious practice that can help cure an infection?,"This is a question about, Religion & Treatment. Faith is important for strength and hope, but you must use modern medicine to cure a physical infection. Healing requires both faith and action.",Eng_Eth
ID_TR_Eng_Eth_29DC073E,What is trichomoniasis?,Trichomoniasis is an infection caused by a small parasite. It spreads during sex and is common but curable.,Eng_Eth
ID_TR_Eng_Eth_D6707A21,Why is it necessary to sometimes give a urine sample and a swab during a test?,"This is a question about, Chlamydia/Gonorrhea. Urine is often used to test for Chlamydia/Gonorrhea in the urethra, while a swab (vaginal or cervical) is needed to check for infections deep inside or to do an HPV screening.",Eng_Eth
ID_TR_Eng_Eth_E4FD6C34,"Can I get if i pray every day, can god remove hiv??","This is a question about, HIV/AIDS. Prayer gives hope and strength, but HIV needs medical treatment. Medicines called antiretrovirals help people live long, healthy lives.",Eng_Eth
ID_TR_Eng_Eth_42378962,My pastor said all I need is prayer to cure my infection. Should I stop taking my ARV medicine?,Absolutely not. The Bible teaches that faith without works is dead. Prayer and medicine work together. Trust the medical science God provided and continue your treatment.,Eng_Eth
ID_TR_Eng_Eth_BFBBEAB3,What are the resources for girls who are experiencing cyberbullying or online harassment?,"This is a question about, GBV/Technology. Refer to the local police cybercrime unit or a child helpline/NGO that deals with online abuse. Advise the girl to block, report, and save the evidence (screenshots).",Eng_Eth
ID_TR_Eng_Eth_D4B3E8CF,"If I use the same shared latrine (toilet) as someone, can I catch an infection?","This is a question about, Transmission Myth. No. These infections are passed through close sexual fluids, not from shared latrines, clothes, or eating utensils.",Eng_Eth
ID_TR_Eng_Eth_B0588256,Can holy water or traditional medicine cure HIV?,No. Alcohol does not cure infections inside the body. Proper treatment is needed.,Eng_Eth
ID_TR_Eng_Eth_1723ECDB,How can I convince village elders that early marriage affects the whole community's economy?,Explain that early marriage leads to poorer health and lower education levels. This means the community loses a generation of productive workers who could have started businesses and paid taxes.,Eng_Eth
ID_TR_Eng_Eth_48FA4E98,Can prayer cure does hiv mean someone has sinned??,"This is a question about, HIV/AIDS. No. HIV is not a sin or punishment. It is a virus that anyone can get, including married people and young people.",Eng_Eth
ID_TR_Eng_Eth_0706FEC2,How do doctors explain what happens if gonorrhea is untreated?,"Doctors explain that gonorrhea is treated with antibiotics. If it is not treated, it can cause serious complications, including infertility. Gonorrhea can be prevented by using condoms and having faithful sexual partnerships.",Eng_Eth
ID_TR_Eng_Eth_62F5F7C2,What do health workers say about how is gonorrhea prevented?,"This is a question about, Gonorrhea. Gonorrhea is treated with antibiotics. It can cause infertility if untreated. Prevention includes condoms and faithful partnerships.",Eng_Eth
ID_TR_Eng_Eth_0CB5EE5C,How is gonorrhea diagnosed?,Through urine tests or swab samples from affected areas.,Eng_Eth
ID_TR_Eng_Eth_29B44CB1,Is it true that gonorrhea can be silent (show no symptoms)?,"Yes, gonorrhea can be silent, as many people do not show any symptoms. However, it can still cause infertility if left untreated. It is treated with antibiotics, and prevention includes using condoms and having faithful partnerships.",Eng_Eth
ID_TR_Eng_Eth_DA9408C0,"If I have chronic pain from a possible old infection, should I ask a traditional healer to cut a mark on my skin and apply a black powder?","This is a question about, Harmful Practices/Blood Risk. Be cautious. This practice often involves shared blades and unknown powders, which can lead to infection from the blades (HIV/Hepatitis) or the powder (toxins). Stick to a medical clinic for chronic pain diagnosis.",Eng_Eth
ID_TR_Eng_Eth_927F8103,What is Can HPV affect men?,"This is a question about, HPV. Yes. HPV affects both men and women and can cause cancers and genital warts in men.",Eng_Eth
ID_TR_Eng_Eth_C7A2F280,Can syphilis be cured?,"Yes, with antibiotics it can be cured.",Eng_Eth
ID_TR_Eng_Eth_F704D72F,Is it wrong to ask for a gift or money from a man?,"It is not inherently wrong to ask for a gift, but be extremely careful if a man asks for something from you in return for that gift (a transactional relationship).",Eng_Eth
ID_TR_Eng_Eth_36DD9529,What is the simplest way to explain to my grandmother what a condom is?,"You can call it a ""health glove"" or a ""safety barrier"" that prevents the transfer of germs between two people during contact.",Eng_Eth
ID_TR_Eng_Eth_DB6BA39B,What is the difference between a painful and a painless genital ulcer?,"This is a question about, Herpes, Syphilis. Painful ulcers often suggest Herpes or Chancroid; Painless ulcers are the hallmark of Primary Syphilis (chancre).",Eng_Eth
ID_TR_Eng_Eth_38AA76DF,Can herbs cure HIV?,"This is a question about, HIV/AIDS. No. Herbs cannot cure HIV. Only antiretroviral therapy (ART) controls the virus.",Eng_Eth
ID_TR_Eng_Eth_A5BAB050,"If I have to be examined by a male doctor, how can I ensure I am still respecting my body's modesty?","This is a question about, Modesty/Exam. Ask for a chaperone (a female nurse) to stay in the room. The doctor must always respect your need for privacy and only uncover the necessary area.",Eng_Eth
ID_TR_Eng_Eth_39A0F145,What is HPV?,"HPV is a virus transmitted through sex. Some types cause warts, and some can cause cancer.",Eng_Eth
ID_TR_Eng_Eth_AD7D6F81,Does gonorrhea stop men from having children?,"This is a question about, Gonorrhea. Yes. If not treated, gonorrhea can damage the reproductive system in men and women.",Eng_Eth
ID_TR_Eng_Eth_34EC5264,What are the dangers of trying to terminate a pregnancy using traditional methods or herbs?,"This is a question about, Abortion/Risk. Severe dangers: Uncontrolled bleeding, poisoning, infection, uterus tearing, permanent damage (infertility/fistula), and even death. Only use a licensed medical professional.",Eng_Eth
ID_TR_Eng_Eth_44E2A94B,Does Can gonorrhea be treated by holy water have a cure?,"This is a question about, Gonorrhea. No. Gonorrhea requires antibiotics. Holy water cannot cure it.",Eng_Eth
ID_TR_Eng_Eth_A6CE6D7A,Can boys get trichomoniasis?,"This is a question about, Trichomoniasis. Yes. Boys can carry trichomoniasis without signs and pass it to girls.",Eng_Eth
ID_TR_Eng_Eth_68D576B8,"What are the signs that a person with HIV is progressing to the later, more dangerous stage (AIDS)?","This is a question about, HIV/AIDS. Signs include frequent, severe infections that a healthy body normally fights off (opportunistic infections), significant weight loss, and a drop in the key immune cell count (CD4 count below 200).",Eng_Eth
ID_TR_Eng_Eth_83666636,How does Gonorrhea contribute to a life-threatening pregnancy complication?,"This is a question about, Gonorrhea. By causing PID, which scars the fallopian tubes and increases the risk of a fertilized egg implanting outside the uterus (ectopic pregnancy).",Eng_Eth
ID_TR_Eng_Eth_052226B9,Can prayer or holy water cure herpes?,No. Herpes cannot be cured by prayer or holy water. Only medicine can control it.,Eng_Eth
ID_TR_Eng_Eth_DD58631B,Does having a naturally dry vagina prevent the transfer of infection because there are no fluids to pass the germs?,"No. Even dry skin has microscopic tears. The germs can still pass through contact and tiny fluid exchanges. Dryness can also cause painful friction that creates small tears, making infection easier to catch.",Eng_Eth
ID_TR_Eng_Eth_C7C1FB1B,"Is syphilis curable, and what are the dangers of leaving it untreated?","Syphilis can be cured with penicillin. If left untreated, it can damage the brain, heart, and other parts of the body. Early testing and treatment prevent these complications.",Eng_Eth
ID_TR_Eng_Eth_F796611F,How do doctors explain how is herpes diagnosed?,"This is a question about, Herpes. Herpes is diagnosed by examining sores or through lab tests when sores are present.",Eng_Eth
ID_TR_Eng_Eth_C47FA57E,Is it true that does limit sexual partners help prevent STIs?,"Yes. Having one faithful, uninfected partner lowers risk of STIs.",Eng_Eth
ID_TR_Eng_Eth_AEA4A441,How does the HPV vaccine work to prevent cancer?,"It contains viral-like particles (VLPs) that mimic the outer protein coat of the virus, allowing the body to produce antibodies without causing infection.",Eng_Eth
ID_TR_Eng_Eth_02472360,Can boys and girls avoid problems by is pregnancy a time to test for stis?,"This is a question about, General. Yes. Pregnant women should always be tested to protect themselves and their babies.",Eng_Eth
ID_TR_Eng_Eth_795E6F2B,My grandmother told me to use a special 'tightening herb' to make my area clean and pure before marriage. Does this prevent STIs?,"No. These herbs or powders may create a temporary feeling of ""tightness"" or ""purity,"" but they do not create a barrier and will not stop the transmission of any STI. They can even cause harm by killing the good bacteria.",Eng_Eth
ID_TR_Eng_Eth_E959137F,How can I have diagnosed chlamydia?,Chlamydia is diagnosed through urine tests or swabs from private parts at a clinic.,Eng_Eth
ID_TR_Eng_Eth_21DF5609,My partner and I always use a condom. Is it possible to still get Herpes or HPV?,"This is a question about, Herpes, HPV. Yes, it is possible. Condoms reduce the risk but do not cover all the skin where the virus can be present (scrotum, thighs, base of the penis), allowing for skin-to-skin viral transmission.",Eng_Eth
ID_TR_Eng_Eth_A5BA2472,How can I know if does not sharing needles prevent hiv?,"This is a question about, HIV/AIDS. Yes. Never sharing needles is an important way to prevent HIV.",Eng_Eth
ID_TR_Eng_Eth_2C56E0CD,"If my husband gave me an infection, does this give me grounds for Khula (divorce initiated by the wife) in Islam?","This is a question about, Marriage/Law. Yes. Severe harm, including the transmission of a chronic or life-threatening disease, is often recognized by Islamic scholars as a valid ground for seeking divorce.",Eng_Eth
ID_TR_Eng_Eth_99E4704C,What is a complication if Gonorrhea spreads through the bloodstream?,"This is a question about, Gonorrhea. Disseminated Gonococcal Infection (DGI), which can affect joints, skin, and heart.",Eng_Eth
ID_TR_Eng_Eth_CD0579E2,"If I am forced to have contact, but I don't have a condom, what is the best immediate thing I can do afterwards?",Seek PEP (Post-Exposure Prophylaxis) immediately. This is the emergency medicine that must be taken within 72 hours to prevent HIV.,Eng_Eth
ID_TR_Eng_Eth_022AADDA,I worry constantly about Qadar (destiny) and whether this infection was destined for me. How can I find peace?,"Trust that Allah has a plan. Your responsibility is to take action by seeking treatment and using the means Allah has provided, such as medicine. Focus on what you can do now, not on worrying about the past.",Eng_Eth
ID_TR_Eng_Eth_3948FE22,What is the treatment for genital warts caused by HPV?,"Genital warts can be treated and removed in several ways. This includes cryotherapy (freezing them off), excision (cutting them away), or using topical prescription medications (special creams) applied directly to the warts.",Eng_Eth
ID_TR_Eng_Eth_409CA8F2,"If I use birth control, will it make me unable to have children later when I am ready?","This is a question about, Family Planning/Myth. No, that is a myth. Modern family planning methods like the pill, injection, or implant do not cause permanent infertility. Your body returns to normal fertility quickly after stopping them.",Eng_Eth
ID_TR_Eng_Eth_9BBC6CBC,How soon do HIV symptoms appear?,"Some people develop flu-like symptoms 2–6 weeks after infection, but many have no symptoms for years. Testing is the only way to know.",Eng_Eth
ID_TR_Eng_Eth_CE1A1669,Is it true that does herpes spread without sores?,"This is a question about, Herpes. Herpes cannot be cured but medicines reduce outbreaks and spread. It can be prevented by condoms and avoiding sex during outbreaks.",Eng_Eth
ID_TR_Eng_Eth_F168C605,Can HPV be cured through prayer or herbal remedies?,No. HPV cannot be cured through prayer or herbal remedies. Vaccination and proper medical care provide the best protection.,Eng_Eth
ID_TR_Eng_Eth_4E329B4B,What are the signs of can holy water cure hiv?,"This is a question about, HIV/AIDS. No. Holy water or traditional medicine cannot cure HIV. Only proper treatment from health centers can control it.",Eng_Eth
ID_TR_Eng_Eth_B676291D,What are the signs that my mother-in-law is using traditional methods that could harm my baby?,"This is a question about, Culture/Safety. If she gives the baby unboiled liquid, smears ash/mud on the umbilical cord, or gives any unproven herbal remedy, she could be causing harm. Talk to a CHW for guidance.",Eng_Eth
ID_TR_Eng_Eth_F78EE9E8,Is it true that prayer alone can cure gonorrhea?,"No. Prayer can give strength and comfort, but gonorrhea requires antibiotics for treatment.",Eng_Eth
ID_TR_Eng_Eth_B599277F,What is the risk of an STI from anal sex compared to vaginal sex?,"This is a question about, General Information. Anal sex carries a higher risk of transmission for many STIs, including HIV.",Eng_Eth
